Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
 , ,Pzt,08.00, 
 , ,Pzt,09.00, 
 , ,Pzt,10.00, 
 , ,Pzt,11.00, 
 , ,Pzt,13.00, 
 , ,Pzt,14.00, 
 , ,Pzt,15.00, 
 , ,Pzt,16.00, 
 , , , , 
 , , , , 
Atatürk Ýlkeleri ve Ýnkilap Tarihi II,Gökçe SÜZGÜN IÞIK,Sal,08.00,G-151
Atatürk Ýlkeleri ve Ýnkilap Tarihi II,Gökçe SÜZGÜN IÞIK,Sal,09.00,G-151
Ýþ Saðlýðý ve Güvenliði II,Derya ÝDE,Sal,10.00,G-151
Ýþ Saðlýðý ve Güvenliði II,Derya ÝDE,Sal,11.00,G-151
Mühendislik Matematiði,Gökhan GELEN,Sal,13.00,E-243
Mühendislik Matematiði,Gökhan GELEN,Sal,14.00,E-243
Mühendislik Matematiði,Gökhan GELEN,Sal,15.00,E-243
Control Systems I,Üyesi Ekrem DÜVEN,Sal,16.00,G-151
 , , , , 
 , , , , 
Control Systems I,Üyesi Ekrem DÜVEN,Çar,08.00,G-151
Control Systems I,Üyesi Ekrem DÜVEN,Çar,09.00,G-151
Engineering Mechanics -Dynamics ,Mehmet Onur GENÇ,Çar,10.00,E-347
Engineering Mechanics -Dynamics ,Mehmet Onur GENÇ,Çar,11.00,E-347
Engineering Mechanics -Dynamics ,Mehmet Onur GENÇ,Çar,13.00,E-347
Elektronik II,Oðuz MISIR,Çar,14.00,E-243
Elektronik II,Oðuz MISIR,Çar,15.00,E-243
Elektronik II - labaratuvar,Oðuz MISIR,Çar,16.00,G-374
 , , , , 
 , , , , 
 , ,Per,08.00, 
 , ,Per,09.00, 
 , ,Per,10.00, 
 , ,Per,11.00, 
 , ,Per,13.00, 
 , ,Per,14.00, 
 , ,Per,15.00, 
 , ,Per,16.00, 
 , , , , 
 , , , , 
Termodinamik,Mustafa ÇOBAN,Cum,08.00,G-151
Elektronik II - labaratuvar,Oðuz MISIR,Cum,09.00,G-374
Termodinamik,Mustafa ÇOBAN,Cum,10.00,G-151
Termodinamik,Mustafa ÇOBAN,Cum,11.00,G-151
Sosyal Seçmeli Ders/Social Elective Course (Grup B),80,Cum,13.00,E-347
Sosyal Seçmeli Ders/Social Elective Course (Grup B),80,Cum,14.00,E-347
 , ,Cum,15.00, 
 , ,Cum,16.00, 
