Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
Finite Element Methods,Murat PEKER,Pzt,08.00,E-243
Finite Element Methods,Murat PEKER,Pzt,09.00,E-243
Computer Aided Design,Ahmet Remzi ÖZCAN,Pzt,10.00,E-347
Computer Aided Design,Ahmet Remzi ÖZCAN,Pzt,11.00,E-347
Computer Aided Design,Ahmet Remzi ÖZCAN,Pzt,13.00,E-347
Advenced Algorithms and Database Systems,Gökhan GELEN,Pzt,14.00,G-151
Advenced Algorithms and Database Systems,Gökhan GELEN,Pzt,15.00,G-151
Advenced Algorithms and Database Systems,Gökhan GELEN,Pzt,16.00,G-151
 , , , , 
 , , , , 
Internet Programming ,Ahmet MERT,Sal,08.00,E-347
Internet Programming ,Ahmet MERT,Sal,09.00,E-347
Internet Programming ,Ahmet MERT,Sal,10.00,E-347
Fuzzy Control,Ýsmail ÖZTÜRK,Sal,11.00,E-243
Fuzzy Control,Ýsmail ÖZTÜRK,Sal,13.00,E-243
Fuzzy Control,Ýsmail ÖZTÜRK,Sal,14.00,E-243
Image Processing,Ekrem DÜVEN,Sal,15.00,E-347
Image Processing,Ekrem DÜVEN,Sal,16.00,E-347
 , , , , 
 , , , , 
Technical Elective Course,Samet GÜL,Çar,08.00,E-347
Technical Elective Course,Samet GÜL,Çar,09.00,E-347
Technical Elective Course,Samet GÜL,Çar,10.00,E-347
Bitirme Çalýþmasý - labaratuvar,Fatih ONAY,Çar,11.00,G-368
Teknik Seçmeli Ders(2 Ders),Özgür ALTINIÞIK,Çar,13.00,G-151
Bitirme Çalýþmasý - labaratuvar,Fatih ONAY,Çar,14.00,G-368
Bitirme Çalýþmasý - labaratuvar,Fatih ONAY,Çar,15.00,G-368
Teknik Seçmeli Ders(2 Ders),Özgür ALTINIÞIK,Çar,16.00,G-151
 , , , , 
 , , , , 
Teknik Seçmeli Ders(2 Ders),Özgür ALTINIÞIK,Per,08.00,G-151
Artifical Neural Networks and Intelligent System,Oðuzhan KURNAZ,Per,09.00,E-347
Artifical Neural Networks and Intelligent System,Oðuzhan KURNAZ,Per,10.00,E-347
Artifical Neural Networks and Intelligent System,Oðuzhan KURNAZ,Per,11.00,E-347
Operating Systems,Ahmet FENERCÝOÐLU,Per,13.00,G-151
Operating Systems,Ahmet FENERCÝOÐLU,Per,14.00,G-151
Operating Systems,Ahmet FENERCÝOÐLU,Per,15.00,G-151
Finite Element Methods,Murat PEKER,Per,16.00,E-243
 , , , , 
 , , , , 
Image Processing,Ekrem DÜVEN,Cum,08.00,E-347
Donaným Tanýmlama Dilleri,Saffet VATANSEVER,Cum,09.00,E-243
Donaným Tanýmlama Dilleri,Saffet VATANSEVER,Cum,10.00,E-243
Donaným Tanýmlama Dilleri,Saffet VATANSEVER,Cum,11.00,E-243
Biyomekatronik ,Selma YILMAZYILDIZ KAYAARMA,Cum,13.00,G-151
Biyomekatronik ,Selma YILMAZYILDIZ KAYAARMA,Cum,14.00,G-151
Biyomekatronik ,Selma YILMAZYILDIZ KAYAARMA,Cum,15.00,G-151
Endüstriyel Ýletiþim Sistemleri,Mehmet Onur GENÇ,Cum,16.00,G-151
