Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
Matematik I,EMEL AÞICI,Pzt,08.00,E-347
Matematik I,EMEL AÞICI,Pzt,09.00,E-347
Matematik I,EMEL AÞICI,Pzt,10.00,E-347
Lineer Cebir ,NÝHAL ÖZDOÐAN,Pzt,11.00,G-151
Lineer Cebir ,NÝHAL ÖZDOÐAN,Pzt,13.00,G-151
Lineer Cebir ,NÝHAL ÖZDOÐAN,Pzt,14.00,G-151
Introduction to Mechatronics Engineering,Ahmet Fenercioðlu,Pzt,15.00,E-243
Introduction to Mechatronics Engineering,Ahmet Fenercioðlu,Pzt,16.00,E-243
 , , , , 
 , , , , 
 , ,Sal,08.00, 
 , ,Sal,09.00, 
 , ,Sal,10.00, 
 , ,Sal,11.00, 
 , ,Sal,13.00, 
 , ,Sal,14.00, 
 , ,Sal,15.00, 
 , ,Sal,16.00, 
 , , , , 
 , , , , 
Türk Dili I,NÝHAL ÖZCAN,Çar,08.00,E-243
Türk Dili I,NÝHAL ÖZCAN,Çar,09.00,E-243
 , ,Çar,10.00, 
 , ,Çar,11.00, 
 , ,Çar,13.00, 
 , ,Çar,14.00, 
 , ,Çar,15.00, 
 , ,Çar,16.00, 
 , , , , 
 , , , , 
Computer Programming I,YILMAZYILDIZ KAYAARMA,Per,08.00,E-347
Computer Programming I,YILMAZYILDIZ KAYAARMA,Per,09.00,E-347
Computer Programming I,YILMAZYILDIZ KAYAARMA,Per,10.00,E-347
Computer Programming I - labaratuvar,YILMAZYILDIZ KAYAARMA,Per,11.00,G-374
Computer Programming I - labaratuvar,YILMAZYILDIZ KAYAARMA,Per,13.00,G-374
Malzeme Bilimi,Mehmet Onur Genç,Per,14.00,E-347
Malzeme Bilimi,Mehmet Onur Genç,Per,15.00,E-347
Malzeme Bilimi,Mehmet Onur Genç,Per,16.00,E-347
 , , , , 
 , , , , 
English,BAHATTÝN ASLAN,Cum,08.00,G-151
English,BAHATTÝN ASLAN,Cum,09.00,G-151
Fizik I,Aslý Ayten Kaya,Cum,10.00,G-151
Fizik I,Aslý Ayten Kaya,Cum,11.00,G-151
Fizik I,Aslý Ayten Kaya,Cum,13.00,G-151
Fizik I - labaratuvar,Aslý Ayten Kaya,Cum,14.00,G-368
Fizik I - labaratuvar,Aslý Ayten Kaya,Cum,15.00,G-368
Matematik I,EMEL AÞICI,Cum,16.00,E-347
