Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
Mantýk Devreler - labaratuvar,Ahmet Remzi ÖZCAN,Pzt,08.00,G-374
Sosyal Seçmeli Ders/Social Elective Course (Grup A),80,Pzt,09.00,E-347
 , ,Pzt,10.00, 
 , ,Pzt,11.00, 
 , ,Pzt,13.00, 
 , ,Pzt,14.00, 
 , ,Pzt,15.00, 
 , ,Pzt,16.00, 
 , , , , 
 , , , , 
 , ,Sal,08.00, 
 , ,Sal,09.00, 
 , ,Sal,10.00, 
 , ,Sal,11.00, 
 , ,Sal,13.00, 
 , ,Sal,14.00, 
 , ,Sal,15.00, 
 , ,Sal,16.00, 
 , , , , 
 , , , , 
Atatürk Ýlkeleri ve Ýnkilap Tarihi I,Gökçe SÜZGÜN IÞIK,Çar,08.00,G-151
Atatürk Ýlkeleri ve Ýnkilap Tarihi I,Gökçe SÜZGÜN IÞIK,Çar,09.00,G-151
Ýþ Saðlýðý ve Güvenliði I,Derya Ýde,Çar,10.00,G-151
Ýþ Saðlýðý ve Güvenliði I,Derya Ýde,Çar,11.00,G-151
Ýþ Saðlýðý ve Güvenliði I - labaratuvar,Derya Ýde,Çar,13.00,G-368
Diferansiyel Denklemler,NÝHAL ÖZDOÐAN,Çar,14.00,E-347
Diferansiyel Denklemler,NÝHAL ÖZDOÐAN,Çar,15.00,E-347
Diferansiyel Denklemler,NÝHAL ÖZDOÐAN,Çar,16.00,E-347
 , , , , 
 , , , , 
Elektronik I - labaratuvar,Mustafa KOCAKULAK,Per,08.00,G-374
Mantýk Devreler,Ahmet Remzi ÖZCAN,Per,09.00,E-347
Mantýk Devreler,Ahmet Remzi ÖZCAN,Per,10.00,E-347
Sayýsal Yöntemler,Burhan Alveroðlu,Per,11.00,G-151
Sayýsal Yöntemler,Burhan Alveroðlu,Per,13.00,G-151
Sayýsal Yöntemler,Burhan Alveroðlu,Per,14.00,G-151
Mantýk Devreler - labaratuvar,Ahmet Remzi ÖZCAN,Per,15.00,G-374
Sosyal Seçmeli Ders/Social Elective Course (Grup A),80,Per,16.00,E-347
 , , , , 
 , , , , 
Diferansiyel Denklemler,NÝHAL ÖZDOÐAN,Cum,08.00,E-347
Engineering Mechanics -Statics,100,Cum,09.00,E-243
Engineering Mechanics -Statics,100,Cum,10.00,E-243
Engineering Mechanics -Statics,100,Cum,11.00,E-243
Elektronik I,Mustafa KOCAKULAK,Cum,13.00,E-243
Elektronik I,Mustafa KOCAKULAK,Cum,14.00,E-243
Mantýk Devreler,Ahmet Remzi ÖZCAN,Cum,15.00,E-347
Elektronik I - labaratuvar,Mustafa KOCAKULAK,Cum,16.00,G-374
