Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
Otomotiv Teknolojileri Paketi,Mert YILMAZ,Pzt,08.00,E-347
 , ,Pzt,09.00, 
 , ,Pzt,10.00, 
 , ,Pzt,11.00, 
 , ,Pzt,13.00, 
 , ,Pzt,14.00, 
 , ,Pzt,15.00, 
 , ,Pzt,16.00, 
 , , , , 
 , , , , 
Kontrol ve Otomasyon Paketi,Oðuz MISIR,Sal,08.00,E-243
Kontrol ve Otomasyon Paketi,Oðuz MISIR,Sal,09.00,E-243
Robot Teknolojileri Paketi,Ýlhan TUNÇ,Sal,10.00,E-347
Robot Teknolojileri Paketi,Ýlhan TUNÇ,Sal,11.00,E-347
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Sal,13.00,G-374
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Sal,14.00,G-374
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Sal,15.00,G-374
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Sal,16.00,G-374
 , , , , 
 , , , , 
Sektör Eðitimi,Üyesi Mehmet Onur GENÇ,Çar,08.00,G-151
Sektör Eðitimi,Üyesi Mehmet Onur GENÇ,Çar,09.00,G-151
Sektör Eðitimi,Üyesi Mehmet Onur GENÇ,Çar,10.00,G-151
Sektör Eðitimi,Üyesi Mehmet Onur GENÇ,Çar,11.00,G-151
Sektör Eðitimi,Üyesi Mehmet Onur GENÇ,Çar,13.00,G-151
Kontrol ve Otomasyon Paketi,Oðuz MISIR,Çar,14.00,E-243
Kontrol ve Otomasyon Paketi,Oðuz MISIR,Çar,15.00,E-243
Kontrol ve Otomasyon Paketi,Oðuz MISIR,Çar,16.00,E-243
 , , , , 
 , , , , 
Robot Teknolojileri Paketi,Ýlhan TUNÇ,Per,08.00,E-347
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Per,09.00,G-374
Robot Teknolojileri Paketi,Ýlhan TUNÇ,Per,10.00,E-347
Robot Teknolojileri Paketi,Ýlhan TUNÇ,Per,11.00,E-347
Makine ve Ýmalat Teknolojileri Paketi,Mustafa KOCAKULAK,Per,13.00,G-151
Makine ve Ýmalat Teknolojileri Paketi,Mustafa KOCAKULAK,Per,14.00,G-151
Makine ve Ýmalat Teknolojileri Paketi,Mustafa KOCAKULAK,Per,15.00,G-151
Makine ve Ýmalat Teknolojileri Paketi,Mustafa KOCAKULAK,Per,16.00,G-151
 , , , , 
 , , , , 
Makine ve Ýmalat Teknolojileri Paketi,Mustafa KOCAKULAK,Cum,08.00,G-151
Otomotiv Teknolojileri Paketi,Mert YILMAZ,Cum,09.00,E-347
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Cum,10.00,G-374
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Cum,11.00,G-374
Kontrol ve Otomasyon Paketi - labaratuvar,Oðuz MISIR,Cum,13.00,G-374
Otomotiv Teknolojileri Paketi,Mert YILMAZ,Cum,14.00,E-347
Otomotiv Teknolojileri Paketi,Mert YILMAZ,Cum,15.00,E-347
Otomotiv Teknolojileri Paketi,Mert YILMAZ,Cum,16.00,E-347
