Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
Algýlayýcýlar ve Dönüþtürücüler,Nurettin Gökhan ADAR,Pzt,08.00,E-347
Algýlayýcýlar ve Dönüþtürücüler,Nurettin Gökhan ADAR,Pzt,09.00,E-347
Yapay Sinir Aðlarýna Giriþ,Fatih ONAY,Pzt,10.00,E-243
Yapay Sinir Aðlarýna Giriþ,Fatih ONAY,Pzt,11.00,E-243
Yapay Sinir Aðlarýna Giriþ,Fatih ONAY,Pzt,13.00,E-243
Ýþletim Sistemlerine Giriþ,Selma YILMAZYILDIZ KAYAARMA,Pzt,14.00,G-151
Ýþletim Sistemlerine Giriþ,Selma YILMAZYILDIZ KAYAARMA,Pzt,15.00,G-151
Ýþletim Sistemlerine Giriþ,Selma YILMAZYILDIZ KAYAARMA,Pzt,16.00,G-151
 , , , , 
 , , , , 
Mekatronik Mühendisliðinde Tasarým - labaratuvar,Nurettin Gökhan ADAR,Sal,08.00,G-368
Mekatronik Mühendisliðinde Tasarým - labaratuvar,Nurettin Gökhan ADAR,Sal,09.00,G-368
Mekatronik Mühendisliðinde Tasarým - labaratuvar,Nurettin Gökhan ADAR,Sal,10.00,G-368
Mekatronik Mühendisliðinde Tasarým - labaratuvar,Nurettin Gökhan ADAR,Sal,11.00,G-368
Robot Kinematiði ve Dinamiði,Ýsmail ÖZTÜRK,Sal,13.00,G-151
Robot Kinematiði ve Dinamiði,Ýsmail ÖZTÜRK,Sal,14.00,G-151
Robot Kinematiði ve Dinamiði,Ýsmail ÖZTÜRK,Sal,15.00,G-151
Digital Signal Processing,Ahmet FENERCÝOÐLU,Sal,16.00,E-347
 , , , , 
 , , , , 
Güç Elektroniði,Gökhan GELEN,Çar,08.00,E-347
Güç Elektroniði,Gökhan GELEN,Çar,09.00,E-347
Güç Elektroniði,Gökhan GELEN,Çar,10.00,E-347
Programlanabilir Denetleyiciler,Ahmet MERT,Çar,11.00,E-243
Programlanabilir Denetleyiciler,Ahmet MERT,Çar,13.00,E-243
Programlanabilir Denetleyiciler,Ahmet MERT,Çar,14.00,E-243
Malzeme Mekaniði,Ýsmail ÖZTÜRK,Çar,15.00,E-243
Malzeme Mekaniði,Ýsmail ÖZTÜRK,Çar,16.00,E-243
 , , , , 
 , , , , 
Malzeme Mekaniði,Ýsmail ÖZTÜRK,Per,08.00,E-243
Hidrolik ve Pnömatik Sistemler,Ekrem DÜVEN,Per,09.00,G-151
Hidrolik ve Pnömatik Sistemler,Ekrem DÜVEN,Per,10.00,G-151
Hidrolik ve Pnömatik Sistemler,Ekrem DÜVEN,Per,11.00,G-151
Akýþkanlar Mekaniði,Saffet VATANSEVER,Per,13.00,G-151
Akýþkanlar Mekaniði,Saffet VATANSEVER,Per,14.00,G-151
Akýþkanlar Mekaniði,Saffet VATANSEVER,Per,15.00,G-151
Algýlayýcýlar ve Dönüþtürücüler,Nurettin Gökhan ADAR,Per,16.00,E-347
 , , , , 
 , , , , 
Digital Signal Processing,Ahmet FENERCÝOÐLU,Cum,08.00,E-347
Digital Signal Processing,Ahmet FENERCÝOÐLU,Cum,09.00,E-347
Communication Systems,Murat PEKER,Cum,10.00,G-151
Communication Systems,Murat PEKER,Cum,11.00,G-151
Communication Systems,Murat PEKER,Cum,13.00,G-151
Digital Control Systems,Ahmet Remzi ÖZCAN,Cum,14.00,E-347
Digital Control Systems,Ahmet Remzi ÖZCAN,Cum,15.00,E-347
Digital Control Systems,Ahmet Remzi ÖZCAN,Cum,16.00,E-347
