Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
Mikroiþlemci Tabanlý Sistem Tasarýmý,Oðuz MISIR,Pzt,08.00,E-243
Electric Machines and Energy Conversion - labaratuvar,Ahmet FENERCÝOÐLU,Pzt,09.00,G-368
Electric Machines and Energy Conversion - labaratuvar,Ahmet FENERCÝOÐLU,Pzt,10.00,G-368
Measurement Techniques and Instrumentation - labaratuvar,Mert YILMAZ,Pzt,11.00,G-374
Measurement Techniques and Instrumentation - labaratuvar,Mert YILMAZ,Pzt,13.00,G-374
Makine Elemanlarý,Özgür ALTINIÞIK,Pzt,14.00,G-151
Makine Elemanlarý,Özgür ALTINIÞIK,Pzt,15.00,G-151
Mikroiþlemci Tabanlý Sistem Tasarýmý - labaratuvar,Oðuz MISIR,Pzt,16.00,G-374
 , , , , 
 , , , , 
 , ,Sal,08.00, 
 , ,Sal,09.00, 
 , ,Sal,10.00, 
 , ,Sal,11.00, 
 , ,Sal,13.00, 
 , ,Sal,14.00, 
 , ,Sal,15.00, 
 , ,Sal,16.00, 
 , , , , 
 , , , , 
Mikroiþlemci Tabanlý Sistem Tasarýmý - labaratuvar,Oðuz MISIR,Çar,08.00,G-374
Makine Elemanlarý,Özgür ALTINIÞIK,Çar,09.00,G-151
 , ,Çar,10.00, 
 , ,Çar,11.00, 
 , ,Çar,13.00, 
 , ,Çar,14.00, 
 , ,Çar,15.00, 
 , ,Çar,16.00, 
 , , , , 
 , , , , 
 , ,Per,08.00, 
 , ,Per,09.00, 
 , ,Per,10.00, 
 , ,Per,11.00, 
 , ,Per,13.00, 
 , ,Per,14.00, 
 , ,Per,15.00, 
 , ,Per,16.00, 
 , , , , 
 , , , , 
Control Systems II,Fatih ONAY,Cum,08.00,E-347
Control Systems II,Fatih ONAY,Cum,09.00,E-347
Control Systems II,Fatih ONAY,Cum,10.00,E-347
Electric Machines and Energy Conversion,Ahmet FENERCÝOÐLU,Cum,11.00,G-151
Electric Machines and Energy Conversion,Ahmet FENERCÝOÐLU,Cum,13.00,G-151
Measurement Techniques and Instrumentation,Mert YILMAZ,Cum,14.00,E-347
Measurement Techniques and Instrumentation,Mert YILMAZ,Cum,15.00,E-347
Mikroiþlemci Tabanlý Sistem Tasarýmý,Oðuz MISIR,Cum,16.00,E-243
